"Location","Match Bytes","Match Value","Label","Code Unit"
"8200ef3e","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8200ef5c","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8200efae","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8200efcc","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8200f01e","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8200f03c","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8205a750","55 62 69 53 65 72 76 69 63 65 73","UbiServices","","ds \"UbiServices::requestProfiles\""
"8226ebeb","75 62 69 73 65 72 76 69 63 65 73","ubiservices","s_Hermes::ThemesService::GetThemes_8226ebc0","ds \"Hermes::ThemesService::GetThemes(Ln 166) - ubiservices::AsyncResult<ubiservices::List<ubiservices::Entity> >\""
"8226ec04","75 62 69 73 65 72 76 69 63 65 73","ubiservices","s_Hermes::ThemesService::GetThemes_8226ebc0","ds \"Hermes::ThemesService::GetThemes(Ln 166) - ubiservices::AsyncResult<ubiservices::List<ubiservices::Entity> >\""
"8226ec16","75 62 69 73 65 72 76 69 63 65 73","ubiservices","s_Hermes::ThemesService::GetThemes_8226ebc0","ds \"Hermes::ThemesService::GetThemes(Ln 166) - ubiservices::AsyncResult<ubiservices::List<ubiservices::Entity> >\""
"82271826","55 62 69 53 65 72 76 69 63 65 73","UbiServices","s_[RDVInterface]_Successfully_logg_822717fc","ds \"[RDVInterface] Successfully logged out of UbiServices.\""
"822718a5","75 62 69 73 65 72 76 69 63 65 73","ubiservices","s_Hermes::RDVInterface::RDVInterfa_82271878","ds \"Hermes::RDVInterface::RDVInterface(Ln 193) - ubiservices::Facade\""
"82271a74","55 62 69 53 65 72 76 69 63 65 73","UbiServices","s_UbiServices\,_login_is_failed:_%s_82271a74","ds \"UbiServices\, login is failed: %s\""
"82271a98","55 62 69 53 65 72 76 69 63 65 73","UbiServices","s_UbiServices\,_login_is_success_82271a98","ds \"UbiServices\, login is success\""
"822745dd","55 42 49 53 45 52 56 49 43 45 53","UBISERVICES","s_SSYS_UBISERVICES_822745d8","ds \"SSYS_UBISERVICES\""
"82286a8a","55 62 69 73 65 72 76 69 63 65 73","Ubiservices","","ds \"Logging in to Ubiservices...\""
"82286bea","55 62 69 73 65 72 76 69 63 65 73","Ubiservices","","ds \"\n......\nAlready Logged to Ubiservices now trying to connect to RDV!!\n......\n\""
"82286c32","55 62 69 73 65 72 76 69 63 65 73","Ubiservices","","ds \"\n...\n...\nLogin to Ubiservices FAILED!!...\n...\n...\n\""
"82287f8e","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82287fac","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82287ffe","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8228801c","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8228806e","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"8228808c","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82288a56","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82288a74","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82288ac6","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82288ae4","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82288b36","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82288b54","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
"82288fbe","75 62 69 73 65 72 76 69 63 65 73","ubiservices","","ds \"x:\\jd_code\\main_legacy\\extern\\ubiservices\\client-sdk\\public\\ubiservices\\core\\memory\\containerAllocator.inl\""
