"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::45ce:78f8:579a:9830","ff02::1:2","DHCPv6","152","Solicit XID: 0x4cf11c CID: 00010001309b0ad700e04c680a27 "
"2","0.018870","fe80::45ce:78f8:579a:9830","ff02::2","ICMPv6","70","Router Solicitation from 00:e0:4c:68:0a:27"
"3","0.101012","169.254.62.14","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"4","0.106411","169.254.62.14","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"5","0.106812","fe80::45ce:78f8:579a:9830","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"6","0.107887","169.254.62.14","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"7","0.108269","fe80::45ce:78f8:579a:9830","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"8","0.119117","169.254.62.14","239.255.255.250","SSDP","563","NOTIFY * HTTP/1.1 "
"9","0.119677","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","591","NOTIFY * HTTP/1.1 "
"10","0.300051","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","157","M-SEARCH * HTTP/1.1 "
"11","0.300994","169.254.62.14","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"12","0.334659","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","163","M-SEARCH * HTTP/1.1 "
"13","0.335133","169.254.62.14","239.255.255.250","SSDP","149","M-SEARCH * HTTP/1.1 "
"14","0.366655","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","181","M-SEARCH * HTTP/1.1 "
"15","0.367235","169.254.62.14","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"16","0.400641","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","181","M-SEARCH * HTTP/1.1 "
"17","0.401164","169.254.62.14","239.255.255.250","SSDP","549","NOTIFY * HTTP/1.1 "
"18","0.401296","169.254.62.14","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"19","0.401786","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","577","NOTIFY * HTTP/1.1 "
"20","0.432613","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"21","0.433319","169.254.62.14","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"22","0.467425","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","181","M-SEARCH * HTTP/1.1 "
"23","0.468121","169.254.62.14","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"24","0.499855","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","181","M-SEARCH * HTTP/1.1 "
"25","0.500566","169.254.62.14","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"26","0.533621","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","181","M-SEARCH * HTTP/1.1 "
"27","0.534270","169.254.62.14","239.255.255.250","SSDP","547","NOTIFY * HTTP/1.1 "
"28","0.534380","169.254.62.14","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"29","0.534903","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","575","NOTIFY * HTTP/1.1 "
"30","0.567635","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","181","M-SEARCH * HTTP/1.1 "
"31","0.571123","169.254.62.14","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"32","0.589413","169.254.62.14","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"33","0.600491","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"34","0.601023","169.254.62.14","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"35","0.617935","169.254.62.14","169.254.255.255","NBNS","110","Registration NB ROG-SERVER<20>"
"36","0.618127","169.254.62.14","169.254.255.255","NBNS","110","Registration NB ROG-SERVER<00>"
"37","0.618278","169.254.62.14","169.254.255.255","NBNS","110","Registration NB WORKGROUP<00>"
"38","0.633588","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"39","0.634212","169.254.62.14","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"40","0.665501","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"41","0.666105","169.254.62.14","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"42","0.699977","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"43","0.700190","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x82503663"
"44","0.700732","169.254.62.14","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
"45","0.732369","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","181","M-SEARCH * HTTP/1.1 "
"46","0.733026","169.254.62.14","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"47","0.765552","fe80::45ce:78f8:579a:9830","ff02::c","SSDP","183","M-SEARCH * HTTP/1.1 "
"48","0.766202","169.254.62.14","239.255.255.250","SSDP","169","M-SEARCH * HTTP/1.1 "
