"Location","String Value","String Representation","Data Type"
"82000a2c","cache/legacyconverteddata","\"cache/legacyconverteddata\"","ds"
"82000a6c","RemoteLogDeviceProtocol::Log_V1","\"RemoteLogDeviceProtocol::Log_V1\"","ds"
"82000a8c","RemoteLogDeviceProtocol","\"RemoteLogDeviceProtocol\"","ds"
"82000aa4","SimpleAuthenticationProtocol::Authenticate_V1","\"SimpleAuthenticationProtocol::Authenticate_V1\"","ds"
"82000ad4","SimpleAuthenticationProtocol::Authenticate_V2","\"SimpleAuthenticationProtocol::Authenticate_V2\"","ds"
"82000b04","SimpleAuthenticationProtocol::LoginWithToken_V1","\"SimpleAuthenticationProtocol::LoginWithToken_V1\"","ds"
"82000b34","SimpleAuthenticationProtocol::LoginWithToken_V2","\"SimpleAuthenticationProtocol::LoginWithToken_V2\"","ds"
"82000b64","SimpleAuthenticationProtocol::Login_V1","\"SimpleAuthenticationProtocol::Login_V1\"","ds"
"82000b8c","SimpleAuthenticationProtocol::Login_V2","\"SimpleAuthenticationProtocol::Login_V2\"","ds"
"82000bb4","SimpleAuthenticationProtocol::Register_V1","\"SimpleAuthenticationProtocol::Register_V1\"","ds"
"82000be0","SimpleAuthenticationProtocol","\"SimpleAuthenticationProtocol\"","ds"
"82000d70","enableDS","\"enableDS\"","ds"
"82000d7c","appPath","\"appPath\"","ds"
"82000d84","player_nodamage","\"player_nodamage\"","ds"
"82000d94","nosound","\"nosound\"","ds"
"82000d9c","scheduleroff","\"scheduleroff\"","ds"
"82000db0","hiddenatboot","\"hiddenatboot\"","ds"
"82000dc0","shadersFolder","\"shadersFolder\"","ds"
"82000dd0","waitvbl","\"waitvbl\"","ds"
"82000dd8","disablestats","\"disablestats\"","ds"
"82000de8","disablescheduler","\"disablescheduler\"","ds"
"82000dfc","disableautofocus","\"disableautofocus\"","ds"
"82000e10","disableundo","\"disableundo\"","ds"
"82000e24","simulatecrash","\"simulatecrash\"","ds"
"82000e34","reopenLastOpenedScene","\"reopenLastOpenedScene\"","ds"
"82000e4c","language","\"language\"","ds"
"82000e68","silent","\"silent\"","ds"
"82000e70","remote","\"remote\"","ds"
"82000e78","graphic","\"graphic\"","ds"
"82000e84","assert","\"assert\"","ds"
"82000e8c","networktime","\"networktime\"","ds"
"82000e98","fastexit","\"fastexit\"","ds"
"82000ea4","onlinedebug","\"onlinedebug\"","ds"
"82000eb0","UNSET_NAME","\"UNSET_NAME\"","ds"
"82000ebc","onlinesession","\"onlinesession\"","ds"
"82000ecc","onlinemode","\"onlinemode\"","ds"
"82000ed8","inputfocus","\"inputfocus\"","ds"
"82000ee4","norewards","\"norewards\"","ds"
"82000ef0","notrc","\"notrc\"","ds"
"82000ef8","nosave","\"nosave\"","ds"
"82000f00","nologos","\"nologos\"","ds"
"82000f08","editor","\"editor\"","ds"
"82000f10","no_soundfree","\"no_soundfree\"","ds"
"82000f20","no_warnings","\"no_warnings\"","ds"
"82000f38","JD2018_MAIN_LEGACY","\"JD2018_MAIN_LEGACY\"","ds"
"82000f4c"," - CL %u","\" - CL %u\"","ds"
"82000f58"," - BETA","\" - BETA\"","ds"
"82000fa8","CamAdapter_x360","\"CamAdapter_x360\"","ds"
"82000fb8","CamAdapter_PS3","\"CamAdapter_PS3\"","ds"
"82000fc8","CamAdapter_Orbis","\"CamAdapter_Orbis\"","ds"
"82000fdc","CamAdapter_Durango","\"CamAdapter_Durango\"","ds"
"82000ff0","CamAdapter_Cafe","\"CamAdapter_Cafe\"","ds"
"82001000","CamAdapter_Win32","\"CamAdapter_Win32\"","ds"
"82001014","MicAdapter_Orbis","\"MicAdapter_Orbis\"","ds"
"82001028","MicAdapter_Durango","\"MicAdapter_Durango\"","ds"
"8200103c","MicAdapter_PS3","\"MicAdapter_PS3\"","ds"
"8200104c","MicAdapter_Cafe","\"MicAdapter_Cafe\"","ds"
"8200105c","MicAdapter_x360","\"MicAdapter_x360\"","ds"
"8200106c","MicAdapter","\"MicAdapter\"","ds"
"82001078","MicAdapter_win32","\"MicAdapter_win32\"","ds"
"8200108c","SoundAdapter_WII","\"SoundAdapter_WII\"","ds"
"820010a0","SoundAdapter_Cafe","\"SoundAdapter_Cafe\"","ds"
"820010b4","SoundAdapter_Orbis","\"SoundAdapter_Orbis\"","ds"
"820010c8","SoundAdapter_PS3","\"SoundAdapter_PS3\"","ds"
"820010dc","SoundAdapter_XAudio","\"SoundAdapter_XAudio\"","ds"
"820010f0","Adapter_Savegame","\"Adapter_Savegame\"","ds"
"82001104","FileManager_ITF","\"FileManager_ITF\"","ds"
"82001114","UserGeneratedContent_x360","\"UserGeneratedContent_x360\"","ds"
"82001130","UserGeneratedContent_PS3","\"UserGeneratedContent_PS3\"","ds"
"8200114c","UserGeneratedContent_Orbis","\"UserGeneratedContent_Orbis\"","ds"
"82001168","UserGeneratedContent_durango","\"UserGeneratedContent_durango\"","ds"
"82001188","UserGeneratedContent_Cafe","\"UserGeneratedContent_Cafe\"","ds"
"820011a4","UserGeneratedContent_fake","\"UserGeneratedContent_fake\"","ds"
"820011c0","SpeechRecognitionAdapter_Orbis","\"SpeechRecognitionAdapter_Orbis\"","ds"
"820011e0","SpeechRecognitionAdapter_x360","\"SpeechRecognitionAdapter_x360\"","ds"
"82001200","SpeechRecognitionAdapter_Durango","\"SpeechRecognitionAdapter_Durango\"","ds"
"82001224","SpeechRecognitionAdapter_fake","\"SpeechRecognitionAdapter_fake\"","ds"
"82001244","GestureAdapter_KinectGesture","\"GestureAdapter_KinectGesture\"","ds"
"82001264","GestureAdapter_MoveSpace","\"GestureAdapter_MoveSpace\"","ds"
"82001280","VideoFeedAdapter_Orbis","\"VideoFeedAdapter_Orbis\"","ds"
"82001298","VideoFeedAdapter_Durango","\"VideoFeedAdapter_Durango\"","ds"
"820012b4","VideoFeedAdapter_x360","\"VideoFeedAdapter_x360\"","ds"
"820012cc","VideoFeedAdapter_fake","\"VideoFeedAdapter_fake\"","ds"
"820012e4","KinectAdapter_Orbis","\"KinectAdapter_Orbis\"","ds"
"820012f8","KinectAdapter_Durango","\"KinectAdapter_Durango\"","ds"
"82001310","KinectAdapter_x360","\"KinectAdapter_x360\"","ds"
"82001324","KinectAdapter_fake","\"KinectAdapter_fake\"","ds"
"82001338","TouchScreenAdapter_Cafe","\"TouchScreenAdapter_Cafe\"","ds"
"82001350","TouchScreenAdapter_Fake","\"TouchScreenAdapter_Fake\"","ds"
"82001368","RedeemCodeAdapter_WII","\"RedeemCodeAdapter_WII\"","ds"
"82001380","RedeemCodeAdapter_WIN32","\"RedeemCodeAdapter_WIN32\"","ds"
"82001398","RedeemCodeAdapter_X360","\"RedeemCodeAdapter_X360\"","ds"
"820013b0","RedeemCodeAdapter_PS3","\"RedeemCodeAdapter_PS3\"","ds"
"820013c8","RewardAdapter_Orbis","\"RewardAdapter_Orbis\"","ds"
"820013dc","RewardAdapter_PS3","\"RewardAdapter_PS3\"","ds"
"820013f0","RewardAdapter_Durango","\"RewardAdapter_Durango\"","ds"
"82001408","RewardAdapter_x360","\"RewardAdapter_x360\"","ds"
"8200141c","RewardAdapter_x64","\"RewardAdapter_x64\"","ds"
"82001430","RewardAdapter_win32","\"RewardAdapter_win32\"","ds"
"82001444","InstallManager","\"InstallManager\"","ds"
"82001454","OnlineAdapter_WII","\"OnlineAdapter_WII\"","ds"
"82001468","OnlineAdapter_Hermes","\"OnlineAdapter_Hermes\"","ds"
"82001480","HTTPFileServiceProvider_Wii","\"HTTPFileServiceProvider_Wii\"","ds"
"8200149c","HTTPFileServiceProvider_Hermes","\"HTTPFileServiceProvider_Hermes\"","ds"
"820014bc","NetworkServices","\"NetworkServices\"","ds"
"820014cc","TCPAdapter_ITF","\"TCPAdapter_ITF\"","ds"
"820014dc","patch","\"patch\"","ds"
"820014e4","bundle","\"bundle\"","ds"
"820014ec","Version error","\"Version error\"","ds"
"82001500","ENGINE IS TOO OLD for this data folder.
Please get a more recent version.

Your version is:	%u
Version needed:	%u

IT'S STRONGLY ADVISED TO SAFE STOP HERE\, EXIT NOW ?","\"ENGINE IS TOO OLD for this data folder.\nPlease get a more recent version.\n\nYour version is:\t%u\nVersion needed:\t%u\n\nIT'S STRONGLY ADVISED TO SAFE STOP HERE\, EXIT NOW ?\"","ds"
"820015b0","update:\patch","\"update:\\patch\"","ds"
"820015c0","Ubi Art Framework %s %s - port:%d - branch:%s","\"Ubi Art Framework %s %s - port:%d - branch:%s\"","ds"
"820015f0","undefined","\"undefined\"","ds"
"820017b4","SystemAdapter_x360","\"SystemAdapter_x360\"","ds"
"820017c8","GFXAdapter_Directx9","\"GFXAdapter_Directx9\"","ds"
"820018e8","appPath=%s;","\"appPath=%s;\"","ds"
"820018f8","XLNI_DASH_NUIHUB","\"XLNI_DASH_NUIHUB\"","ds"
"8200190c","XLNI_DASH_ARCADE","\"XLNI_DASH_ARCADE\"","ds"
"82001920","XLNI_DET_MEDIA","\"XLNI_DET_MEDIA\"","ds"
"82002bfb",".[XAPI RETURN VALUE] %d
","\".[XAPI RETURN VALUE] %d\n\"","ds"
"82002c60","Unknown","\"Unknown\"","ds"
"82002c68","DirectCall","\"DirectCall\"","ds"
"82002c74","RootObjectNewDelete","\"RootObjectNewDelete\"","ds"
"82002c88","RootObjectNewDeleteArray","\"RootObjectNewDeleteArray\"","ds"
"82002ca4","GlobalNewDelete","\"GlobalNewDelete\"","ds"
"82002cb4","GlobalNewDeleteArray","\"GlobalNewDeleteArray\"","ds"
"82002ccc","AllocatorClass","\"AllocatorClass\"","ds"
"82002cdc","qSpecialNewDelete","\"qSpecialNewDelete\"","ds"
